Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Rox_Goal_E, Goal: Rox_Goal_R, Goal: Rox_Goal_F
493,2,0,513,0, 36.82354,1,0,66,81
494,0,0,513,0, 36.52712,1,0,66,81
495,1,0,514,0, 36.14553,1,0,66,81
496,4,2,518,4, 36.46536,1,0,66,85
497,3,0,519,0, 36.80379,1,0,66,85
498,3,0,522,0, 36.28682,1,0,66,85
499,1,0,523,0, 35.82664,1,0,66,85
500,1,0,524,0, 36.03577,1,0,66,85
501,2,2,526,2, 36.3214,1,0,68,85
502,5,0,529,0, 35.92513,1,0,68,85
503,1,1,530,4, 36.07494,1,0,68,89
504,5,0,534,0, 35.86514,1,0,68,89
505,4,0,538,0, 36.94545,1,0,68,89
506,0,1,538,1, 36.68293,1,0,69,89
507,3,1,540,1, 36.92273,1,0,69,90
508,2,1,541,5, 37.17867,1,0,69,95
509,0,0,540,0, 36.56819,1,0,69,95
510,0,0,540,0, 36.01754,1,0,69,95
511,0,2,540,6, 35.23512,1,0,71,99
512,4,0,542,0, 35.16141,1,0,71,99
513,3,0,545,0, 34.54066,1,0,71,99
514,2,0,547,0, 35.14833,1,0,71,99
515,4,0,551,0, 34.29647,1,0,71,99
516,0,0,551,0, 35.51513,1,0,71,99
517,7,1,558,1, 35.66215,1,0,72,99
518,0,0,557,0, 35.3986,1,0,72,99
519,1,0,558,0, 34.97721,1,0,72,99
520,2,0,560,0, 35.19656,1,0,72,99
521,3,0,563,0, 35.40022,1,0,72,99
522,0,0,563,0, 34.59183,1,0,72,99
523,1,0,564,0, 34.18297,1,0,72,99
524,6,1,570,3, 34.81961,1,0,72,102
525,0,0,569,0, 35.43237,1,0,72,102
526,1,0,570,0, 34.35657,1,0,72,102
527,2,0,572,0, 34.78369,1,0,72,102
528,2,0,574,0, 35.47703,1,0,72,102
529,4,0,578,0, 34.7644,1,0,72,102
530,4,0,582,0, 35.07935,1,0,72,102
531,1,1,583,4, 35.12157,1,0,72,106
532,6,0,588,0, 35.60367,1,0,72,106
533,3,1,591,5, 34.60888,1,0,72,111
534,1,0,591,0, 35.17305,1,0,72,111
535,1,0,592,0, 34.82644,1,0,72,111
536,4,0,596,0, 34.04006,1,0,72,111
537,2,0,598,0, 33.92709,1,0,72,111
538,7,0,605,0, 33.84522,1,0,72,111
539,1,1,606,2, 33.71395,1,0,72,113
540,2,0,607,0, 33.05423,1,0,72,113
541,3,0,610,0, 33.11298,1,0,72,113
542,3,0,613,0, 34.21636,1,0,72,113
543,2,0,615,0, 34.06433,1,0,72,113
544,3,0,618,0, 33.53633,1,0,72,113
545,3,0,621,0, 33.59751,1,0,72,113
546,2,0,623,0, 33.01772,1,0,72,113
547,2,0,625,0, 33.35138,1,0,72,113
548,0,0,625,0, 32.65876,1,0,72,113
549,3,3,628,3, 32.8393,1,0,75,113
550,2,0,627,0, 32.56798,1,0,75,113
551,4,0,631,0, 31.99914,1,0,75,113
552,0,1,631,2, 31.75794,1,0,75,115
553,4,0,634,0, 31.79431,1,0,75,115
554,1,1,635,1, 32.31242,1,0,75,116
555,0,0,634,0, 33.73547,1,0,75,116
556,2,0,636,0, 33.9535,1,0,75,116
557,2,2,638,3, 34.31097,1,0,75,119
558,0,1,636,5, 34.06476,1,0,75,124
559,2,2,637,2, 34.1945,1,0,75,126
560,1,2,636,6, 34.7102,1,0,80,127
