Time(s),Total cars injected, Total cars arrived,Current cars in system, Exiting people,Total Sumo cars injected,Total Sumo cars arrived
4764,944,901,43,2306,0,0
4765,944,901,43,2306,0,0
4766,944,901,43,2306,0,0
4767,944,901,43,2306,0,0
4768,944,902,42,2308,0,0
4769,944,902,42,2308,0,0
4770,944,902,42,2308,0,0
4771,944,902,42,2308,0,0
4772,944,902,42,2308,0,0
4773,944,902,42,2308,0,0
4774,944,902,42,2308,0,0
4775,944,902,42,2308,0,0
4776,944,902,42,2308,0,0
4777,944,902,42,2308,0,0
4778,944,902,42,2308,0,0
4779,944,902,42,2308,0,0
4780,944,902,42,2308,0,0
4781,944,902,42,2308,0,0
4782,944,902,42,2308,0,0
4783,944,902,42,2308,0,0
4784,944,902,42,2308,0,0
4785,944,902,42,2308,0,0
4786,944,902,42,2308,0,0
4787,944,902,42,2308,0,0
4788,944,902,42,2308,0,0
4789,944,902,42,2308,0,0
4790,944,902,42,2308,0,0
4791,944,902,42,2308,0,0
4792,944,902,42,2308,0,0
4793,944,902,42,2308,0,0
4794,944,902,42,2308,0,0
4795,944,902,42,2308,0,0
4796,944,902,42,2308,0,0
4797,944,902,42,2308,0,0
4798,944,902,42,2308,0,0
4799,944,902,42,2308,0,0
4800,944,902,42,2308,0,0
4801,944,902,42,2308,0,0
4802,944,902,42,2308,0,0
4803,944,902,42,2308,0,0
4804,944,902,42,2308,0,0
4805,945,902,43,2308,0,0
4806,945,902,43,2308,0,0
4807,945,902,43,2308,0,0
4808,945,902,43,2308,0,0
4809,945,902,43,2308,0,0
4810,945,902,43,2308,0,0
4811,945,903,42,2310,0,0
4812,945,903,42,2310,0,0
4813,945,903,42,2310,0,0
4814,945,903,42,2310,0,0
4815,946,903,43,2310,0,0
4816,946,903,43,2310,0,0
4817,946,903,43,2310,0,0
4818,946,903,43,2310,0,0
4819,946,903,43,2310,0,0
4820,946,903,43,2310,0,0
4821,946,903,43,2310,0,0
4822,946,903,43,2310,0,0
4823,946,903,43,2310,0,0
4824,946,903,43,2310,0,0
4825,946,903,43,2310,0,0
4826,946,903,43,2310,0,0
4827,946,903,43,2310,0,0
4828,946,903,43,2310,0,0
4829,946,903,43,2310,0,0
4830,946,903,43,2310,0,0
4831,946,903,43,2310,0,0
4832,946,903,43,2310,0,0
4833,946,903,43,2310,0,0
4834,947,903,44,2310,0,0
4835,947,903,44,2310,0,0
4836,947,903,44,2310,0,0
4837,947,903,44,2310,0,0
4838,947,903,44,2310,0,0
4839,947,903,44,2310,0,0
4840,947,903,44,2310,0,0
4841,947,904,43,2312,0,0
4842,947,904,43,2312,0,0
4843,947,904,43,2312,0,0
4844,948,904,44,2312,0,0
4845,948,904,44,2312,0,0
4846,948,904,44,2312,0,0
4847,948,904,44,2312,0,0
4848,948,904,44,2312,0,0
4849,948,905,43,2314,0,0
4850,948,905,43,2314,0,0
4851,948,905,43,2314,0,0
4852,948,905,43,2314,0,0
4853,948,905,43,2314,0,0
4854,948,905,43,2314,0,0
