Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
2324,155,395,851,2167,845,2156,845,49.18738
2325,155,395,852,2171,845,2156,845,49.18738
2326,155,395,853,2172,845,2156,845,49.18738
2327,154,393,853,2172,846,2158,846,49.18738
2328,154,393,853,2172,846,2158,846,49.17145
2329,154,393,853,2172,846,2158,846,49.17145
2330,153,392,854,2175,847,2159,847,49.17145
2331,153,392,854,2175,847,2159,847,49.13561
2332,153,392,854,2175,847,2159,847,49.13561
2333,153,392,854,2175,847,2159,847,49.13561
2334,153,392,854,2175,847,2159,847,49.13561
2335,153,392,854,2175,847,2159,847,49.13561
2336,153,392,854,2175,847,2159,847,49.13561
2337,153,392,854,2175,847,2159,847,49.13561
2338,153,392,854,2175,847,2159,847,49.13561
2339,152,389,854,2175,848,2162,848,49.13561
2340,152,389,854,2175,848,2162,848,49.09529
2341,152,389,854,2175,848,2162,848,49.09529
2342,151,388,855,2179,849,2163,849,49.09529
2343,151,388,855,2179,849,2163,849,49.05745
2344,151,388,855,2179,849,2163,849,49.05745
2345,151,388,855,2179,849,2163,849,49.05745
2346,151,388,855,2179,849,2163,849,49.05745
2347,151,388,855,2179,849,2163,849,49.05745
2348,151,388,855,2179,849,2163,849,49.05745
2349,151,388,855,2179,849,2163,849,49.05745
2350,151,388,855,2179,849,2163,849,49.05745
2351,151,388,855,2179,849,2163,849,49.05745
2352,151,388,855,2179,849,2163,849,49.05745
2353,151,388,855,2179,849,2163,849,49.05745
2354,151,388,855,2179,849,2163,849,49.05745
2355,151,388,855,2179,849,2163,849,49.05745
2356,151,388,855,2179,849,2163,849,49.05745
2357,151,388,855,2179,849,2163,849,49.05745
2358,151,388,855,2179,849,2163,849,49.05745
2359,151,388,855,2179,849,2163,849,49.05745
2360,151,388,855,2179,849,2163,849,49.05745
2361,151,388,855,2179,849,2163,849,49.05745
2362,151,388,855,2179,849,2163,849,49.05745
2363,150,387,855,2179,850,2164,850,49.05745
2364,150,387,855,2179,850,2164,850,49.06972
2365,150,387,855,2179,850,2164,850,49.06972
2366,150,387,855,2179,850,2164,850,49.06972
2367,150,387,855,2179,850,2164,850,49.06972
2368,150,387,855,2179,850,2164,850,49.06972
2369,150,387,855,2179,850,2164,850,49.06972
2370,149,383,855,2179,851,2168,851,49.06972
2371,149,383,855,2179,851,2168,851,49.05518
2372,149,383,855,2179,851,2168,851,49.05518
2373,149,383,855,2179,851,2168,851,49.05518
2374,149,383,855,2179,851,2168,851,49.05518
2375,149,383,855,2179,851,2168,851,49.05518
2376,148,380,855,2179,852,2171,852,49.05518
2377,148,380,855,2179,852,2171,852,49.04395
2378,148,380,855,2179,852,2171,852,49.04395
2379,148,380,855,2179,852,2171,852,49.04395
2380,148,380,855,2179,852,2171,852,49.04395
2381,148,380,855,2179,852,2171,852,49.04395
2382,148,380,855,2179,852,2171,852,49.04395
2383,148,380,855,2179,852,2171,852,49.04395
2384,148,380,855,2179,852,2171,852,49.04395
2385,148,380,855,2179,852,2171,852,49.04395
2386,148,380,855,2179,852,2171,852,49.04395
2387,148,380,855,2179,852,2171,852,49.04395
2388,148,380,855,2179,852,2171,852,49.04395
2389,148,380,855,2179,852,2171,852,49.04395
2390,148,380,855,2179,852,2171,852,49.04395
2391,148,380,855,2179,852,2171,852,49.04395
2392,148,380,855,2179,852,2171,852,49.04395
2393,148,380,855,2179,852,2171,852,49.04395
2394,148,380,855,2179,852,2171,852,49.04395
2395,148,380,855,2179,852,2171,852,49.04395
2396,148,380,855,2179,852,2171,852,49.04395
2397,148,380,855,2179,852,2171,852,49.04395
2398,148,380,855,2179,852,2171,852,49.04395
2399,148,380,855,2179,852,2171,852,49.04395
2400,148,380,855,2179,852,2171,852,49.04395
2401,148,380,855,2179,852,2171,852,49.04395
2402,147,377,855,2179,853,2174,853,49.04395
2403,147,377,855,2179,853,2174,853,49.06579
2404,147,377,855,2179,853,2174,853,49.06579
2405,147,377,855,2179,853,2174,853,49.06579
2406,147,377,855,2179,853,2174,853,49.06579
2407,147,377,855,2179,853,2174,853,49.06579
2408,147,377,855,2179,853,2174,853,49.06579
2409,147,377,855,2179,853,2174,853,49.06579
2410,147,377,855,2179,853,2174,853,49.06579
2411,147,377,855,2179,853,2174,853,49.06579
2412,147,377,855,2179,853,2174,853,49.06579
2413,147,377,855,2179,853,2174,853,49.06579
2414,147,377,855,2179,853,2174,853,49.06579
2415,147,377,855,2179,853,2174,853,49.06579
2416,146,373,855,2179,854,2178,854,49.06579
2417,146,373,855,2179,854,2178,854,49.08824
2418,146,373,855,2179,854,2178,854,49.08824
2419,146,373,855,2179,854,2178,854,49.08824
2420,146,373,855,2179,854,2178,854,49.08824
2421,146,373,855,2179,854,2178,854,49.08824
2422,146,373,855,2179,854,2178,854,49.08824
2423,146,373,855,2179,854,2178,854,49.08824
2424,146,373,855,2179,854,2178,854,49.08824
2425,146,373,855,2179,854,2178,854,49.08824
